time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.1249999925494194,-0.04606485366821289,-0.1289816051721573,0.057700131088495255,0.0,0.2258354276418686,0.05833057686686516,0.0,0.21769268810749054,0.27097657322883606,1.0095438085500064e-07,0.020980125293135643,0.02907559648156166,-0.3261663019657135,-0.008088095113635063,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875,0.1249999925494194,-0.019327213987708092,-0.1278199851512909,0.10290858894586563,0.0,0.3847616910934448,0.10224759578704834,0.0,0.381593257188797,0.2513088583946228,1.1352912565598672e-07,-0.052427344024181366,0.14981631934642792,-0.3261663019657135,-0.040440477430820465,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125000298023224,0.1250000298023224,-0.011501293629407883,-0.13683092594146729,0.12541496753692627,0.0,0.4682628810405731,0.12496916949748993,0.0,0.4663914144039154,0.2494383305311203,1.2415959815825772e-07,-0.059418778866529465,0.27055707573890686,-0.3261663019657135,-0.07279285788536072,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375000298023224,0.12499997764825821,-0.006940128747373819,-0.14246173202991486,0.13889145851135254,0.0,0.5184327960014343,0.13861183822155,0.0,0.5173063278198242,0.2488151639699936,1.2636948554245464e-07,-0.06176258996129036,0.3912977874279022,-0.3261663019657135,-0.10514523833990097,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625000596046448,0.12499995529651642,-0.003940559457987547,-0.14516714215278625,0.14669470489025116,0.0,0.5474992394447327,0.14653103053569794,0.0,0.546860933303833,0.24831299483776093,1.216252343283486e-07,-0.0636725127696991,0.5120384693145752,-0.3261663019657135,-0.13749761879444122,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875000596046448,0.1250000298023224,-0.0031557208858430386,-0.14927449822425842,0.15232941508293152,0.0,0.5684911012649536,0.15219025313854218,0.0,0.5679820775985718,0.2472815364599228,1.0300545483232781e-07,-0.06759756803512573,0.6327792406082153,-0.3261663019657135,-0.16984999179840088,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125,0.1249999850988388,-0.00647201482206583,-0.16360926628112793,0.16202545166015625,0.0,0.6045764088630676,0.16171765327453613,0.0,0.6035382747650146,0.24589619040489197,7.391697209868653e-08,-0.0729060098528862,0.7535199522972107,-0.3261663019657135,-0.20220237970352173,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375001192092896,0.12499997764825821,-0.011030333116650581,-0.18672776222229004,0.1789049357175827,0.0,0.6676396727561951,0.17841671407222748,0.0,0.6658602952957153,0.2472926676273346,3.41027686090456e-08,-0.06785169243812561,0.874260663986206,-0.3261663019657135,-0.23455475270748138,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.1249999925494194,-0.04581056907773018,-0.12826961278915405,0.05158691480755806,0.0,0.20186930894851685,0.05214107036590576,0.0,0.1945931315422058,0.27088266611099243,2.7015803993890586e-07,0.020630428567528725,0.02907559648156166,-0.9455074667930603,-0.008088095113635063,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875,0.1249999925494194,-0.01915646530687809,-0.12693502008914948,0.0919141173362732,0.0,0.3436526656150818,0.09132509678602219,0.0,0.34082990884780884,0.2513052523136139,3.0448785537373624e-07,-0.052439771592617035,0.14981631934642792,-0.9455074667930603,-0.040440477430820465,-0.18910149335861207
