time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,-12.0,6.6,0.0,6.997997,0.0015887056,5.1026233e-05,5.970397614873946e-05,2.4506007321178913e-06,2.1187461243243888e-05
0.06,10,-11.833333,6.6,0.0,6.997946,0.0016492947,5.07785e-05,-0.0001792284892871976,1.0637450031936169e-06,-1.986569259315729e-05
0.06,10,-11.666667,6.6,0.0,6.997894,0.0017128757,4.9656257e-05,3.117878804914653e-05,-2.1382002159953117e-06,4.273766535334289e-06
0.06,10,-11.5,6.6,0.0,6.9978404,0.0017791382,4.887767e-05,-2.0336214220151305e-05,-1.913611777126789e-05,2.7534995751921088e-05
0.06,10,-11.333333,6.6,0.0,6.997784,0.0018473502,4.686974e-05,0.00015891078510321677,-1.0566436685621738e-05,-9.70689143287018e-06
0.06,10,-11.166667,6.6,0.0,6.9977274,0.0019197915,4.539173e-05,-0.00016383975162170827,-7.273606024682522e-05,4.045069726998918e-05
0.06,10,-11.0,6.6,0.0,6.997668,0.0019956215,4.3542124e-05,-5.0652248319238424e-05,-4.036317113786936e-05,8.553914085496217e-06
0.06,10,-10.833333,6.6,0.0,6.997607,0.0020750025,4.1227788e-05,-3.7833815440535545e-06,2.4114444386214018e-05,1.3694407243747264e-05
0.06,10,-10.666667,6.6,0.0,6.997542,0.0021571147,3.4466386e-05,-5.140068242326379e-05,-0.00010754936374723911,-7.571838432340883e-05
0.06,10,-10.5,6.6,0.0,6.997477,0.0022441503,3.0935742e-05,8.991919457912445e-07,-4.050089046359062e-05,1.3927361578680575e-05
0.06,10,-10.333333,6.6,0.0,6.99741,0.0023353817,2.6724301e-05,-0.00011444138363003731,-6.726186256855726e-05,-3.540726174833253e-05
0.06,10,-10.166667,6.6,0.0,6.99734,0.0024310604,2.1717511e-05,-7.041578646749258e-05,1.7911545000970364e-05,-4.700144927483052e-05
0.06,10,-10.0,6.6,0.0,6.9972687,0.002532356,1.4595687e-05,-8.962035644799471e-05,-7.015198934823275e-05,1.9278239051345736e-05
0.06,10,-9.833334,6.6,0.0,6.9971943,0.002637725,7.797033e-06,7.091090083122253e-06,-5.2670715376734734e-05,-2.997034607687965e-05
0.06,10,-9.666666,6.6,0.0,6.9971175,0.0027483555,-1.6298145e-07,-5.144334863871336e-06,-8.421146776527166e-05,3.745935100596398e-05
0.06,10,-9.5,6.6,0.0,6.9970374,0.002864584,-9.3616545e-06,-0.0001335000852122903,8.98351427167654e-05,2.0402287191245705e-05
0.06,10,-9.333333,6.6,0.0,6.996955,0.0029867108,-1.9866973e-05,-3.531493712216616e-05,-0.00011831533629447222,6.8733206717297435e-06
0.06,10,-9.166667,6.6,0.0,6.9968696,0.0031151497,-3.1949952e-05,2.079148543998599e-05,6.9391680881381035e-06,-3.874787944369018e-05
0.06,10,-9.0,6.6,0.0,6.996781,0.0032502757,-4.589185e-05,7.411011029034853e-05,-0.00013894308358430862,4.69887163490057e-05
0.06,10,-8.833333,6.6,0.0,6.996689,0.003392571,-6.1739236e-05,-2.8291717171669006e-05,-1.7095590010285378e-06,1.822051126509905e-05
0.06,10,-8.666666,6.6,0.0,6.9965935,0.0035424225,-7.9857185e-05,-0.00014822010416537523,-0.00027319975197315216,-1.88783451449126e-05
0.06,10,-8.5,6.6,0.0,6.9964943,0.0037004258,-0.00010051951,0.00017504976131021976,-0.00011973571963608265,-1.9599960069172084e-05
0.06,10,-8.333334,6.6,0.0,6.996391,0.003867108,-0.00012397394,-1.912936568260193e-06,-0.00013952888548374176,2.3746506485622376e-05
0.06,10,-8.166666,6.6,0.0,6.996283,0.0040430874,-0.00015070476,-0.00015032500959932804,-0.00013797380961477757,-6.694669718854129e-05
0.06,10,-8.0,6.6,0.0,6.9961715,0.004229026,-0.00018107146,-4.548043943941593e-05,-9.086215868592262e-05,-1.716594852041453e-05
0.06,10,-7.8333335,6.6,0.0,6.9960546,0.004425668,-0.00021547638,-0.00012929725926369429,-8.289585821330547e-05,5.460402462631464e-06
0.06,10,-7.666667,6.6,0.0,6.995933,0.0046338253,-0.0002545584,0.00013180752284824848,2.6897527277469635e-05,-3.1886258511804044e-05
0.06,10,-7.5,6.6,0.0,6.995805,0.0048544114,-0.0002988521,-0.0002446363214403391,-0.00029379106126725674,-7.657479727640748e-06
0.06,10,-7.333333,6.6,0.0,6.9956717,0.0050884066,-0.000349069,-0.0004058342892676592,-0.00016761687584221363,-7.027119863778353e-08
0.06,10,-7.1666665,6.6,0.0,6.995532,0.005336919,-0.00040583313,-0.0004409670364111662,-0.00015879725106060505,6.772566121071577e-05
0.06,10,-7.0,6.6,0.0,6.995385,0.005601477,-0.0004697293,-6.346823647618294e-05,8.827843703329563e-05,4.283185990061611e-05
0.06,10,-6.8333335,6.6,0.0,6.9952307,0.0058833924,-0.000542704,-3.405124880373478e-05,-0.0002627300564199686,-3.913717227987945e-05
0.06,10,-6.6666665,6.6,0.0,6.995069,0.0061835726,-0.00062549114,-0.00014975841622799635,-7.306388579308987e-05,8.860198431648314e-05
0.06,10,-6.5,6.6,0.0,6.994898,0.00650412,-0.00072184205,-0.00021157902665436268,-0.00023347488604485989,-2.824686816893518e-06
0.06,10,-6.3333335,6.6,0.0,6.9947186,0.0068468177,-0.0008281544,-0.00023739237803965807,-5.286256782710552e-05,-2.6876310585066676e-05
0.06,10,-6.166667,6.6,0.0,6.994529,0.0072139176,-0.0009484738,-0.0004499012138694525,-0.00034890230745077133,6.253889296203852e-05
0.06,10,-6.0,6.6,0.0,6.994328,0.0076079275,-0.0010848194,-5.1911105401813984e-05,-4.386343061923981e-05,4.3346284655854106e-05
0.06,10,-5.833333,6.6,0.0,6.994116,0.008031546,-0.0012393035,-0.0004684928571805358,-0.00010203290730714798,0.00011117698159068823
0.06,10,-5.6666665,6.6,0.0,6.99389,0.008487804,-0.0014137961,-0.00021946127526462078,-1.1699739843606949e-05,0.00010542391100898385
0.06,10,-5.5,6.6,0.0,6.993651,0.00898087,-0.0016202927,-0.0005489208269864321,-0.000638134777545929,5.978826084174216e-05
0.06,10,-5.333333,6.6,0.0,6.993397,0.0095141195,-0.0018462464,-0.0002558418782427907,-0.00024295691400766373,-4.080339567735791e-05
0.06,10,-5.166667,6.6,0.0,6.993127,0.0100926915,-0.0021032393,-0.0008128774352371693,0.00011049676686525345,0.00011481696856208146
0.06,10,-5.0,6.6,0.0,6.9928384,0.010721864,-0.0023953505,-0.0002693234710022807,-0.00029422901570796967,0.00013448440586216748
0.06,10,-4.8333335,6.6,0.0,6.9925313,0.011406392,-0.0027293712,-0.0007387289078906178,-0.0002854056656360626,0.0001866206876002252
0.06,10,-4.666667,6.6,0.0,6.9922047,0.012154994,-0.0031080544,-0.000827890238724649,0.00021348614245653152,3.085937350988388e-06
0.06,10,-4.5,6.6,0.0,6.9918547,0.012976065,-0.0035408437,-0.0008890242897905409,-5.641486495733261e-05,2.478645183146e-05
0.06,10,-4.333333,6.6,0.0,6.99148,0.013878643,-0.0040342286,-0.0008189508807845414,0.00022238772362470627,-8.042075205594301e-05
0.06,10,-4.1666665,6.6,0.0,6.9910903,0.014884106,-0.004582651,-0.0009004508901853114,-0.00013126526027917862,-2.719910116866231e-05
0.06,10,-4.0,6.6,0.0,6.990665,0.015990788,-0.0052236617,-0.0010768174543045461,-0.000598677434027195,-8.494657231494784e-05
0.06,10,-3.833333,6.6,0.0,6.9902105,0.017220173,-0.005957432,-0.0013407772057689726,0.0004190616309642792,0.0002685757935978472
0.06,10,-3.666667,6.6,0.0,6.989726,0.018591674,-0.006799929,-0.0015576062723994255,0.00030334480106830597,-0.00021963147446513176
0.06,10,-3.5,6.6,0.0,6.9892106,0.02012777,-0.0077698603,-0.0015249407151713967,0.0007284507155418396,3.8594240322709084e-05
0.06,10,-3.333334,6.6,0.0,6.988663,0.021855658,-0.008888796,-0.002489340491592884,0.001174088567495346,1.3818033039569855e-05
0.06,10,-3.166667,6.6,0.0,6.9880857,0.02381257,-0.010184273,-0.0018015429377555847,0.0004131551831960678,-8.576211985200644e-05
0.06,10,-3.0,6.6,0.0,6.987479,0.026037045,-0.011688359,-0.0019890605472028255,0.0003345087170600891,0.00017121806740760803
0.06,10,-2.833333,6.6,0.0,6.9868507,0.028573528,-0.013438523,-0.003154414240270853,0.0019853785634040833,-3.2514799386262894e-06
0.06,10,-2.666666,6.6,0.0,6.9862084,0.031479727,-0.015467614,-0.0038596317172050476,0.001917041838169098,-1.6026897355914116e-05
0.06,10,-2.5,6.6,0.0,6.985569,0.034838,-0.017862424,-0.00269981287419796,0.0010407492518424988,0.0005830342415720224
0.06,10,-2.333333,6.6,0.0,6.984958,0.038740877,-0.020684823,-0.004299815744161606,0.002272922545671463,0.0004031991120427847
0.06,10,-2.166667,6.6,0.0,6.9844193,0.043307163,-0.024034306,-0.004331126809120178,0.0028747282922267914,0.000440964475274086
0.06,10,-2.0,6.6,0.0,6.9840226,0.04868876,-0.028035492,-0.0056804995983839035,0.004037205129861832,7.84632284194231e-05
0.06,10,-1.833334,6.6,0.0,6.98388,0.05508517,-0.032839045,-0.007305419072508812,0.006023745983839035,0.0006871717050671577
0.06,10,-1.666667,6.6,0.0,6.9841805,0.06271674,-0.038663685,-0.006493758410215378,0.006242856383323669,0.0005776137113571167
0.06,10,-1.5,6.6,0.0,6.9852333,0.07190838,-0.04576449,-0.007949210703372955,0.00858200155198574,0.0010207528248429298
0.06,10,-1.333333,6.6,0.0,6.9875464,0.08294265,-0.054529607,-0.007726866751909256,0.010456593707203865,0.0016381582245230675
0.06,10,-1.166666,6.6,0.0,6.99199,0.09615597,-0.06541292,-0.009495332837104797,0.013041768223047256,0.0014962316490709782
0.06,10,-1.0,6.6,0.0,6.999982,0.11162539,-0.07884207,-0.010063536465168,0.012316755950450897,0.0005785543471574783
0.06,10,-0.833333,6.6,0.0,7.013828,0.12871535,-0.09494588,-0.012316972017288208,0.0033109262585639954,-0.0021917899139225483
0.06,10,-0.666667,6.6,0.0,7.036949,0.14490536,-0.11277738,-0.02041560411453247,-0.026371166110038757,-0.0094658094458282
0.06,10,-0.5,6.6,0.0,7.0733323,0.15356556,-0.129231,-0.05069667100906372,-0.09995114803314209,-0.020753049990162253
0.06,10,-0.33333397,6.6,0.0,7.1238174,0.14128485,-0.13862288,-0.1357383131980896,-0.23229438066482544,-0.041487124282866716
0.06,10,-0.16666698,6.6,0.0,7.176319,0.09104801,-0.13542157,-0.3346859812736511,-0.38062360882759094,-0.0640210872516036
0.06,10,0.0,6.6,0.0,7.2007747,0.0033165347,-0.12186447,-0.6295561920851469,-0.4101242423057556,-0.07897471357136965
0.06,10,0.16666603,6.6,0.0,7.1773577,-0.08567536,-0.11100942,-0.851939182728529,-0.2418203353881836,-0.08032221579924226
0.06,10,0.33333397,6.6,0.0,7.1253204,-0.1390433,-0.1135882,-0.8571256473660469,-0.0015265941619873047,-0.0691531109623611
0.06,10,0.5,6.6,0.0,7.0744534,-0.15481777,-0.12625332,-0.6872367560863495,0.14832738041877747,-0.050412826240062714
0.06,10,0.666667,6.6,0.0,7.0371327,-0.14868367,-0.13818565,-0.46263787150382996,0.17827126383781433,-0.03058203775435686
0.06,10,0.833333,6.6,0.0,7.012973,-0.1335552,-0.14109106,-0.27164503931999207,0.1337994672358036,-0.01634303666651249
0.06,10,1.0,6.6,0.0,6.998346,-0.11634627,-0.13364954,-0.14280951023101807,0.07307343184947968,-0.007933598011732101
0.06,10,1.166666,6.6,0.0,6.9899464,-0.10014829,-0.11922766,-0.07085725665092468,0.025395110249519348,-0.002564752474427223
0.06,10,1.333334,6.6,0.0,6.9854107,-0.08606733,-0.10226315,-0.03519853204488754,-0.0003452897071838379,-0.001107947900891304
0.06,10,1.5,6.6,0.0,6.9831905,-0.074252576,-0.08595489,-0.020834803581237793,-0.0091886967420578,-0.0004234807565808296
0.06,10,1.666666,6.6,0.0,6.9823294,-0.06447478,-0.07179633,-0.014753475785255432,-0.01139521598815918,-0.0005054967477917671
0.06,10,1.833334,6.6,0.0,6.9822445,-0.056385644,-0.060071543,-0.012154784053564072,-0.010147184133529663,-0.0004327995702624321
0.06,10,2.0,6.6,0.0,6.982597,-0.049661152,-0.050512522,-0.009165264666080475,-0.00788407027721405,-0.00039703864604234695
0.06,10,2.166667,6.6,0.0,6.983187,-0.044030648,-0.04272063,-0.008340682834386826,-0.006337888538837433,-0.00044709816575050354
0.06,10,2.333333,6.6,0.0,6.9838953,-0.03928002,-0.036327586,-0.005551982671022415,-0.0041797831654548645,-0.00023902533575892448
0.06,10,2.5,6.6,0.0,6.984652,-0.035266135,-0.031067237,-0.006509352475404739,-0.004492133855819702,-6.130430847406387e-05
0.06,10,2.666666,6.6,0.0,6.9854198,-0.031805575,-0.026673287,-0.005056167021393776,-0.0034631118178367615,-0.00022431602701544762
0.06,10,2.833334,6.6,0.0,6.98617,-0.028827513,-0.022990867,-0.005303173325955868,-0.002825140953063965,-0.0001505659893155098
0.06,10,3.0,6.6,0.0,6.9868917,-0.026233755,-0.019877285,-0.003727664239704609,-0.0014595985412597656,-0.00021281372755765915
0.06,10,3.166666,6.6,0.0,6.9875765,-0.023967767,-0.017232344,-0.004581899382174015,-0.0019177310168743134,-0.00021233956795185804
0.06,10,3.333334,6.6,0.0,6.988222,-0.021977466,-0.014978662,-0.0028713513165712357,-0.0013524442911148071,-0.00018413423094898462
0.06,10,3.5,6.6,0.0,6.9888277,-0.020218499,-0.013048671,-0.003471928648650646,-0.0010909512639045715,-1.494772732257843e-06
0.06,10,3.666667,6.6,0.0,6.9893923,-0.018664682,-0.011374213,-0.002194520551711321,-0.0004858635365962982,-0.00023209815844893456
0.06,10,3.833333,6.6,0.0,6.9899187,-0.01727839,-0.009941019,-0.0024986788630485535,-0.00042178668081760406,-0.00017349747940897942
0.06,10,4.0,6.6,0.0,6.9904094,-0.016035477,-0.008701824,-0.001540502067655325,-0.0002717506140470505,4.253699444234371e-05
0.06,10,4.166666,6.6,0.0,6.9908667,-0.014918584,-0.0076268986,-0.0012300494126975536,0.00010216422379016876,-1.3680255506187677e-05
0.06,10,4.333334,6.6,0.0,6.991292,-0.013911143,-0.00669197,-0.0016571590676903725,-0.00028458796441555023,-5.187513306736946e-05
0.06,10,4.5,6.6,0.0,6.991688,-0.013000108,-0.0058765933,-0.0010886089876294136,-0.0004200544208288193,-2.1678395569324493e-05
0.06,10,4.666666,6.6,0.0,6.992057,-0.012171825,-0.0051648617,-0.001503179781138897,3.9342790842056274e-05,7.640861440449953e-06
0.06,10,4.833334,6.6,0.0,6.9924016,-0.011417121,-0.004542306,-0.001422286033630371,-0.000373300164937973,7.119926158338785e-05
0.06,10,5.0,6.6,0.0,6.9927225,-0.010726283,-0.003994778,-0.0007395874708890915,0.00011106859892606735,-2.7527334168553352e-05
