time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,kinematic_pressure
0.0,0,1.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.9,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.8,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.6,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.4,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.3,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.2,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-2.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.9000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.7999999999999998,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.5,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.2000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.1,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.9000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.8000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.7000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.5999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.5,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.3999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.2999999999999998,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.20000000000000018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,-0.10000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.09999999999999964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.20000000000000018,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.30000000000000027,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.3999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.5,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.5999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.7000000000000002,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.7999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,0.9000000000000004,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.0999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.1999999999999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.2999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.3999999999999995,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.5,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.5999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.7000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1.0,1.8000000000000007,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
