time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,3.928595614181333,0.6284059018352959,0.0,-31.667233,0.0,1989.0165,0.0,0.0,1711.1502685546875,-6.892263678537347e-05,-58.06450195610523,-8.640530990509238e-07,1964.2978070906656,314.2029509176478,49.99999999999998,10.0,-1.3784527357074698e-08,-0.11612900391221052,-1.7281061981018481e-10,1.0795593261718754e-07,-1.110638061523438,1.0006129741668706e-09,28.162517547607422,-28.162512257695198,0.0,56,0.0,0.0,0.0
0.025,2,0.5532902101842317,0.030585924523431954,0.0,-32.97829,0.0,275.09784,0.0,0.0,8.044575691223145,-1.632218364377991e-05,85.84401179855195,3.2058786749583623e-07,276.6451050921157,15.29296226171597,49.99999999999998,10.0,-3.264436728755983e-09,0.17168802359710397,6.411757349916727e-11,9.953975677490238e-09,0.034139080047607434,3.3965334296226514e-10,27.061861038208008,-27.061867766824705,0.0,112,0.0,0.0,0.0
0.0375,3,0.6726202511608428,0.04787208544132991,0.0,-34.82724,0.0,335.35727,0.0,0.0,60.59514617919922,9.537057887598621e-05,77.29995194607181,-4.006190552283129e-06,336.31012558042124,23.936042720664943,49.99999999999998,10.0,1.907411577519725e-08,0.1545999038921437,-8.01238110456626e-10,1.8715858459472663e-09,-0.01307874774932862,-2.0341016352176674e-09,27.838960647583008,-27.838960723938882,0.0,168,0.0,0.0,0.0
0.05,4,0.7232070484966139,0.052859502914903746,0.0,-36.76357,0.0,360.69943,0.0,0.0,72.3104248046875,4.3251977338343295e-05,75.86833668407053,-2.39339620991888e-06,361.60352424830677,26.42975145745186,49.99999999999998,10.0,8.650395467668661e-09,0.15173667336814112,-4.786792419837762e-10,2.3102760314941416e-08,-0.028613027572631847,-3.407336771488191e-09,29.21479034423828,-29.21478138781589,0.0,224,0.0,0.0,0.0
0.0625,5,0.7362928880568886,0.05153256677430778,0.0,-38.553123,0.0,367.02774,0.0,0.0,65.62702941894531,-0.00015213286170734364,78.00770121288951,-1.062934575149499e-07,368.14644402844414,25.766283387153877,49.99999999999998,10.0,-3.042657234146874e-08,0.1560154024257791,-2.1258691502989987e-11,-2.969503402709962e-08,-0.02749847793579103,-1.1361204087734226e-09,30.52924346923828,-30.52925084465369,0.0,280,0.0,0.0,0.0
0.075,6,0.7392935804547939,0.04881365573936867,0.0,-40.15246,0.0,368.26923,0.0,0.0,55.9343147277832,-0.00016831296663255557,80.79742464603623,3.044147940861608e-06,369.64679022739676,24.406827869684324,49.99999999999998,10.0,-3.3662593326511125e-08,0.16159484929207255,6.088295881723218e-10,-5.6672096252441425e-08,-0.02253975296020509,-9.660609066486362e-10,31.634504318237305,-31.63449520088212,0.0,336,0.0,0.0,0.0
0.0875,7,0.7424728750985463,0.04645967186310022,0.0,-41.58761,0.0,369.63034,0.0,0.0,48.08480453491211,-1.0471574828585517e-05,83.21105368205463,3.6911320675236947e-06,371.236437549273,23.2298359315501,49.99999999999998,10.0,-2.094314965717104e-09,0.16642210736410934,7.382264135047392e-10,-1.4185905456542975e-08,-0.018393146514892586,-5.197711288928987e-10,32.566017150878906,-32.56602894021876,0.0,392,0.0,0.0,0.0
0.1,8,0.7468485575096405,0.0445911538251539,0.0,-42.88759,0.0,371.6227,0.0,0.0,42.1143684387207,0.0001688904702135119,85.20346057706047,-2.294712876091398e-06,373.4242787548201,22.295576912576937,49.99999999999998,10.0,3.377809404270239e-08,0.170406921154121,-4.589425752182798e-10,3.353357315063478e-08,-0.015404472351074226,3.1068921089172374e-10,33.37168502807617,-33.371685063528986,0.0,448,0.0,0.0,0.0
0.1125,9,0.7516274095258575,0.043027664350357715,0.0,-44.072376,0.0,373.8401,0.0,0.0,37.33211135864258,0.0003649340476634677,86.9061973617936,-6.807769507718997e-06,375.8137047629286,21.513832175178848,49.99999999999998,10.0,7.298680953269357e-08,0.17381239472358728,-1.3615539015438e-09,6.150007247924806e-08,-0.013107674598693853,-7.415190339088442e-10,34.08014678955078,-34.08014249256386,0.0,504,0.0,0.0,0.0
0.125,10,0.7563671226752822,0.04166188978476018,0.0,-45.15641,0.0,376.05536,0.0,0.0,33.338623046875,-0.00023477461078869055,88.40152595815016,3.5485552533458253e-06,378.1835613376409,20.83094489238008,49.99999999999998,10.0,-4.695492215773813e-08,0.1768030519163004,7.097110506691653e-10,-4.340410232543947e-08,-0.01122462368011475,2.3875385522842416e-09,34.70875549316406,-34.708749253070295,0.0,560,0.0,0.0,0.0
0.1375,11,0.7609487273006776,0.04044904575959851,0.0,-46.151413,0.0,378.20605,0.0,0.0,29.94598960876465,0.00018200370715248937,89.73043611520552,7.747539961515393e-06,380.47436365033866,20.224522879799245,49.99999999999998,10.0,3.640074143049789e-08,0.17946087223041113,1.5495079923030792e-09,3.769397735595704e-08,-0.009642228126525883,1.4754012227058415e-09,35.270172119140625,-35.27016680826307,0.0,616,0.0,0.0,0.0
0.15,12,0.7653416508671076,0.03936357583620103,0.0,-47.067314,0.0,380.2749,0.0,0.0,27.036731719970703,-0.00026807169662390606,90.91943378714495,-3.942179257629408e-06,382.6708254335536,19.681787918100508,49.99999999999998,10.0,-5.361433932478123e-08,0.18183886757429,-7.884358515258819e-10,-7.025003433227542e-08,-0.008298660278320316,4.0140002965927136e-11,35.77446746826172,-35.7744611669998,0.0,672,0.0,0.0,0.0
0.1625,13,0.7695290656248571,0.03838527555248534,0.0,-47.9126,0.0,382.25186,0.0,0.0,24.520339965820312,0.00048289966581904764,91.98953231905762,-5.39867686265294e-06,384.7645328124284,19.19263777624266,49.99999999999998,10.0,9.657993316380956e-08,0.1839790646381153,-1.0797353725305884e-09,8.243322372436526e-08,-0.00714685392379761,1.6909092664718635e-09,36.22974395751953,-36.22974225551388,0.0,728,0.0,0.0,0.0
0.175,14,0.7735046047067968,0.03749823306272646,0.0,-48.694557,0.0,384.13242,0.0,0.0,22.327342987060547,-0.00011727775304137822,92.95762290232233,5.499803397875092e-07,386.75230235339825,18.74911653136322,49.99999999999998,10.0,-2.345555060827565e-08,0.18591524580464475,1.0999606795750188e-10,-1.8084049224853522e-08,-0.0061510334014892604,-1.6350299119949347e-09,36.64263153076172,-36.64261727444128,0.0,784,0.0,0.0,0.0
0.1875,15,0.7772695979995148,0.036689985380908445,0.0,-49.419434,0.0,385.91614,0.0,0.0,20.40302276611328,-0.0002726410812812219,93.83750143938232,3.42045769971544e-08,388.6347989997572,18.344992690454212,49.99999999999998,10.0,-5.45282162562444e-08,0.18767500287876474,6.840915399430883e-12,-5.3453445434570335e-08,-0.005283160686492923,3.6177225410938276e-09,37.018531799316406,-37.01851796140336,0.0,840,0.0,0.0,0.0
0.2,16,0.7808281732764955,0.035950127776192595,0.0,-50.092712,0.0,387.60416,0.0,0.0,18.70372200012207,0.00012748339419843546,94.6403823755536,5.951086933637939e-06,390.41408663824757,17.97506388809629,49.99999999999998,10.0,2.54966788396871e-08,0.18928076475110728,1.1902173867275883e-09,3.032684326171876e-08,-0.004521336555480959,-5.141831934452058e-10,37.361961364746094,-37.361955204232764,0.0,896,0.0,0.0,0.0
0.2125,17,0.7841886050684216,0.03527039667334024,0.0,-50.71918,0.0,389.19983,0.0,0.0,17.1955623626709,-0.0003532909180457011,95.37563351150311,1.61225560124309e-06,392.0943025342106,17.63519833667011,49.99999999999998,10.0,-7.065818360914025e-08,0.19075126702300632,3.224511202486181e-10,-5.332231521606447e-08,-0.0038486955165863055,5.136150866746904e-09,37.676727294921875,-37.67672934826554,0.0,952,0.0,0.0,0.0
0.225,18,0.7873601925365962,0.034643747277228444,0.0,-51.303116,0.0,390.70712,0.0,0.0,15.850287437438965,0.00013191721301453185,96.05097598170687,4.708450865101299e-07,393.6800962682979,17.321873638614214,49.99999999999998,10.0,2.638344260290638e-08,0.19210195196341381,9.416901730202602e-11,3.3235549926757825e-08,-0.0032516171932220474,2.073124051094056e-09,37.96605682373047,-37.96606707036361,0.0,1008,0.0,0.0,0.0
0.2375,19,0.7903540196782911,0.03406461157100772,0.0,-51.84822,0.0,392.131,0.0,0.0,14.645899772644043,0.00045842784808414194,96.67308385076467,7.53423000374176e-06,395.1770098391454,17.032305785503855,49.99999999999998,10.0,9.168556961682843e-08,0.19334616770152943,1.5068460007483526e-09,1.1169910430908208e-07,-0.002719411849975587,3.824662417173387e-09,38.23271179199219,-38.232722433166046,0.0,1064,0.0,0.0,0.0
0.25,20,0.7931797598439706,0.03352804047684292,0.0,-52.357773,0.0,393.47583,0.0,0.0,13.56280517578125,-0.00043200475388616155,97.24768033693545,1.3160603646450442e-07,396.58987992198513,16.764020238421452,49.99999999999998,10.0,-8.640095077723235e-08,0.194495360673871,2.6321207292900892e-11,-1.062870025634766e-07,-0.0022425503730773935,-2.6868656277656564e-10,38.47905731201172,-38.47906457853458,0.0,1120,0.0,0.0,0.0
0.2625,21,0.7958468774046682,0.03302956712323288,0.0,-52.834793,0.0,394.74585,0.0,0.0,12.585429191589355,6.162721831515228e-05,97.77961142829736,2.1208587985474536e-06,397.9234387023339,16.514783561616433,49.99999999999998,10.0,1.232544366303046e-08,0.1955592228565948,4.241717597094909e-10,2.25663185119629e-08,-0.001813701033592225,-2.5741755962371837e-09,38.7071533203125,-38.70714057648884,0.0,1176,0.0,0.0,0.0
0.275,22,0.7983652491939184,0.03256554883469723,0.0,-53.281933,0.0,395.94562,0.0,0.0,11.700508117675781,-0.0002971765010322258,98.27307155870949,2.447257713745349e-06,399.182624596959,16.282774417348605,49.99999999999998,10.0,-5.943530020644518e-08,0.19654614311741908,4.8945154274907e-10,-4.230737686157228e-08,-0.0014266738891601568,-1.0660849511623387e-09,38.91873550415039,-38.918741710197985,0.0,1232,0.0,0.0,0.0
0.2875,23,0.8007445925750767,0.032132895848628315,0.0,-53.701557,0.0,397.07965,0.0,0.0,10.897283554077148,0.0002531138188857085,98.7317944813185,4.438902114385634e-06,400.3722962875382,16.06644792431415,49.99999999999998,10.0,5.062276377714172e-08,0.1974635889626371,8.877804228771272e-10,6.552934646606448e-08,-0.0010763567686080937,-8.737668395042423e-10,39.115421295166016,-39.11542976831352,0.0,1288,0.0,0.0,0.0
