timestamp_utc,commit,dirty,method,backend,hardware_model,precision,kernel,distribution,count,reference_targets,velocity_relative_l2,gradient_relative_l2,rate_relative_l2,rate_particle_p50,rate_particle_p95,rate_particle_max,raw_rate_defect,m2l_pairs,near_node_pairs,p2p_particle_pairs,interaction_work,tree_build_seconds,upward_pass_seconds,interaction_list_seconds,m2l_seconds,downward_pass_seconds,near_field_seconds,strength_rate_seconds,stage_seconds,ssprk3_accepted_step_seconds,peak_host_rss_kib,estimated_device_bytes,host_particle_transfers
2026-09-02T15:07:48.828553+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,CPU,12th Gen Intel(R) Core(TM) i7-12700H,f32,GAUSSIAN,two_rings,512,128,4.022660473177118e-05,9.165788933373896e-06,0.00029055470349004334,0.00022009361230655375,0.0016580160227253765,0.004885957025325256,5.9397349915988404e-05,250,212,97586,97836,0.0066895210184156895,0.0023968900204636157,0.001642315008211881,0.000585705041885376,0.004528226039838046,0.006617720006033778,0.0002475650398992002,0.023269105004146695,0.05176473699975759,548768,1570816,0
2026-09-02T15:07:57.296319+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,GAUSSIAN,two_rings,512,128,4.0240849847553395e-05,9.189215751594465e-06,0.0002906628442869025,0.0002218593190365932,0.0016586526664078077,0.004893376984306682,5.935116742220081e-05,250,212,97586,97836,0.025855455023702234,0.006841258029453456,0.005681299953721464,0.002024959947448224,0.00804300798336044,0.008172460016794503,0.0006381139974109828,0.060884949984028935,0.17322812404017895,632168,1570816,0
2026-09-02T15:08:09.300390+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,CPU,12th Gen Intel(R) Core(TM) i7-12700H,f32,HIGH_ORDER_GAUSSIAN,two_rings,512,128,2.8840996492721887e-05,5.48458158748603e-06,0.00016866027650087493,0.00016108054425040947,0.0014751391072543758,0.004871337070199446,3.809540553430192e-05,250,212,97586,97836,0.008050800999626517,0.0025361509760841727,0.0009681470110081136,0.0006033850368112326,0.003421058994717896,0.007597624033223838,0.00019176100613549352,0.025296054023783654,0.06846898200456053,550376,1570816,0
2026-09-02T15:08:17.457090+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,HIGH_ORDER_GAUSSIAN,two_rings,512,128,2.88416684945682e-05,5.50395101533354e-06,0.00016851676336575153,0.0001580633632335553,0.001476729869410681,0.004871059242793774,3.807752705586114e-05,250,212,97586,97836,0.02508768200641498,0.0064108489896170795,0.0054948820034042,0.0027659930055961013,0.008093889977317303,0.012371618999168277,0.0009702200186438859,0.055571812961716205,0.18130081502022222,632528,1570816,0
2026-09-02T15:08:28.133993+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,CPU,12th Gen Intel(R) Core(TM) i7-12700H,f32,SUPER_GAUSSIAN,two_rings,512,128,3.602799308341739e-05,8.694730511041529e-06,0.0002659126332950834,0.0001949937503018574,0.001325539652743312,0.004507679212914807,5.340475544805607e-05,250,212,97586,97836,0.006752109969966114,0.0021641409839503467,0.0014735370059497654,0.0005341820069588721,0.0036971700028516352,0.00699410296510905,0.0002149279462173581,0.0244885339634493,0.0669803119963035,548700,1570816,0
2026-09-02T15:08:36.372760+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,SUPER_GAUSSIAN,two_rings,512,128,3.602226443725241e-05,8.94689401762038e-06,0.00026630112367787196,0.00019943568946796685,0.0013276650219633157,0.0045103900505487175,5.331693459045583e-05,250,212,97586,97836,0.020494928990956396,0.006080479011870921,0.004734968999400735,0.0012977729784324765,0.007757338986266404,0.008038921980187297,0.0004321710439398885,0.05924682802287862,0.1938687659567222,638348,1570816,0
2026-09-02T15:08:48.607930+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,CPU,12th Gen Intel(R) Core(TM) i7-12700H,f32,WINCKELMANS,two_rings,512,128,3.50710170841676e-05,6.600939028407713e-06,0.00020398406040779727,0.00020497549738618796,0.0017182954040163986,0.004967447618337175,4.8127283651986057e-05,250,212,97586,97836,0.006625849986448884,0.00555668497690931,0.0012525959755294025,0.0004997520009055734,0.0033690500422380865,0.006115337018854916,0.00021102401660755277,0.022742052969988436,0.06938448001164943,545908,1570816,0
2026-09-02T15:08:56.751323+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,WINCKELMANS,two_rings,512,128,3.507809779068758e-05,6.602908421632474e-06,0.00020392961791450422,0.00020391408898021426,0.001717412850180303,0.004970520707795452,4.839001862802689e-05,250,212,97586,97836,0.019941436010412872,0.006393818010110408,0.0044971160241402686,0.0022403690381906927,0.007389383972622454,0.007868392975069582,0.0004798760055564344,0.0625866639893502,0.17519549996359274,635404,1570816,0
2026-09-02T15:09:07.142223+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,FMM,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,GAUSSIAN,uniform,1000,128,1.2386702960083862e-06,9.069450727810337e-07,5.611232527899508e-07,5.2361596486967e-07,1.5233095224227663e-06,3.1103151534655347e-06,8.131713603148373e-08,0,1849,999000,999000,0.024783027998637408,0.006760915974155068,0.005723895039409399,3.2889016438275576e-05,0.008595771039836109,0.07192658097483218,0.0007950419676490128,0.14786005800124258,0.47547110996674746,612220,3068000,0
2026-09-02T15:09:14.276274+00:00,2942d13958f9c3fed43ce90dd3eec10eeb83dd1c,True,TREECODE,VULKAN,Intel Corporation Alder Lake-P GT2 [Iris Xe Graphics] (rev 0c); NVIDIA Corporation GA106M [GeForce RTX 3060 Mobile / Max-Q] (rev a1),f32,GAUSSIAN,uniform,1000,128,0.001889703335479159,0.022690596390770198,0.026305902507508472,0.3639066653602824,1.222268660538835,4.3028825116044125,4.9114515775851375e-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04352539899991825,0.18114481394877657,584012,0,0
