time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.1249999925494194,-0.024770166724920273,-0.06935647130012512,0.016679205000400543,0.0,0.12432242184877396,0.01686609908938408,0.0,0.12000851333141327,0.2669765055179596,2.9272213097897293e-08,0.01156643033027649,0.029836293309926987,-0.3261663019657135,-0.00434915954247117,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875000149011612,0.1249999925494194,-0.010392699390649796,-0.06873182952404022,0.029760494828224182,0.0,0.21213413774967194,0.02956455945968628,0.0,0.2103627324104309,0.26128965616226196,3.26296643038404e-08,-0.0289011113345623,0.15361979603767395,-0.3261663019657135,-0.021745797246694565,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125000298023224,0.1250000149011612,-0.0061844936572015285,-0.0735771656036377,0.03626655042171478,0.0,0.25816166400909424,0.03613440692424774,0.0,0.25710970163345337,0.26074880361557007,3.523474845223973e-08,-0.03275503218173981,0.277403324842453,-0.3261663019657135,-0.0391424335539341,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375000596046448,0.1249999925494194,-0.003731813980266452,-0.07660484313964844,0.04016198590397835,0.0,0.2858118414878845,0.04007910192012787,0.0,0.2851775288581848,0.26056867837905884,3.64174326250577e-08,-0.03404656797647476,0.40118682384490967,-0.3261663019657135,-0.05653907358646393,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625000596046448,0.12499995529651642,-0.0021187327802181244,-0.0780591294169426,0.0424172580242157,0.0,0.30182912945747375,0.04236874729394913,0.0,0.30146920680999756,0.26042357087135315,3.4707316132198684e-08,-0.035098299384117126,0.524970293045044,-0.3261663019657135,-0.07393570989370346,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875,0.1250000149011612,-0.001696221181191504,-0.0802660584449768,0.0440458208322525,0.0,0.3133968412876129,0.044004593044519424,0.0,0.31310901045799255,0.2601255476474762,2.9632127862555535e-08,-0.03725948929786682,0.648753821849823,-0.3261663019657135,-0.091332346200943,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125001192092896,0.1250000149011612,-0.0034786472097039223,-0.08797081559896469,0.046849388629198074,0.0,0.33329135179519653,0.04675820469856262,0.0,0.33270198106765747,0.2597252428531647,2.1041568487589757e-08,-0.04018212854862213,0.772537350654602,-0.3261663019657135,-0.10872898250818253,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375000596046448,0.12499996274709702,-0.0059296260587871075,-0.10039938241243362,0.05172991380095482,0.0,0.36805421113967896,0.05158527195453644,0.0,0.3670479953289032,0.26012903451919556,9.558108082785566e-09,-0.037393540143966675,0.8963208198547363,-0.3261663019657135,-0.12612561881542206,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.1249999925494194,-0.024633439257740974,-0.06897363066673279,0.014912148006260395,0.0,0.11113010346889496,0.015076426789164543,0.0,0.10727433860301971,0.266949325799942,7.831405923752754e-08,0.011373618617653847,0.029836293309926987,-0.9455074667930603,-0.00434915954247117,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875000149011612,0.1249999925494194,-0.01030088122934103,-0.0682559609413147,0.026580961421132088,0.0,0.1894691437482834,0.026406358927488327,0.0,0.18789097666740417,0.2612886130809784,8.75164829494679e-08,-0.02890799380838871,0.15361979603767395,-0.9455074667930603,-0.021745797246694565,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,2,0.3125000298023224,0.1250000149011612,-0.0060842204838991165,-0.0729307234287262,0.03234832361340523,0.0,0.23026980459690094,0.03223156929016113,0.0,0.2293395698070526,0.2607525885105133,9.518908683503469e-08,-0.032727234065532684,0.277403324842453,-0.9455074667930603,-0.0391424335539341,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,3,0.4375000596046448,0.1249999925494194,-0.003586770733818412,-0.07567260414361954,0.03573943302035332,0.0,0.25433921813964844,0.035668037831783295,0.0,0.2537911832332611,0.2605823576450348,9.945088663698698e-08,-0.03394761309027672,0.40118682384490967,-0.9455074667930603,-0.05653907358646393,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,4,0.5625000596046448,0.12499995529651642,-0.0018197372555732727,-0.07646375149488449,0.03755060210824013,0.0,0.2672002613544464,0.03751349821686745,0.0,0.26692235469818115,0.2604689598083496,9.602096184835318e-08,-0.034772712737321854,0.524970293045044,-0.9455074667930603,-0.07393570989370346,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,5,0.6875,0.1250000149011612,-0.0010204768041148782,-0.07713741809129715,0.03853127360343933,0.0,0.27416372299194336,0.0385093092918396,0.0,0.27400803565979004,0.26020270586013794,8.303351251015556e-08,-0.03670823946595192,0.648753821849823,-0.9455074667930603,-0.091332346200943,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,6,0.8125001192092896,0.1250000149011612,-0.002641112543642521,-0.08330794423818588,0.04039682075381279,0.0,0.28739306330680847,0.04033393785357475,0.0,0.2869909405708313,0.25966718792915344,5.957993565175457e-08,-0.04060526564717293,0.772537350654602,-0.9455074667930603,-0.10872898250818253,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,7,0.9375000596046448,0.12499996274709702,-0.005954785272479057,-0.09681200981140137,0.04465241730213165,0.0,0.31766435503959656,0.044517286121845245,0.0,0.3167567253112793,0.25995072722435,2.7246406020253744e-08,-0.038701582700014114,0.8963208198547363,-0.9455074667930603,-0.12612561881542206,-0.18910149335861207
