run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank,ring
p_moments,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,1,"[0.499997615814209, 0.499997615814209]","[1.0, 1.0]",-1.354488987085026e-05,0,1
p_moments,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,1,"[-0.5000014305114746, -0.5000014305114746]","[1.0, 1.0]",-1.354488987085026e-05,1,2
p_moments,0.15,40,0.679997444152832,1.0399999618530273,0.9557748413085939,2,2,1,"[0.679997444152832, 0.679997444152832]","[1.0399999618530273, 1.0399999618530273]",-1.7494978286008177e-06,0,1
p_moments,0.15,40,-0.32000160217285156,0.9599999785423279,0.9078321838378908,2,2,1,"[-0.32000160217285156, -0.32000160217285156]","[0.9599999785423279, 0.9599999785423279]",-1.7494978286008177e-06,1,2
p_moments,0.3,80,0.8399972915649414,1.0799999237060547,0.9196438598632813,2,2,1,"[0.8399972915649414, 0.8399972915649414]","[1.0799999237060547, 1.0799999237060547]",9.787448956702926e-06,0,1
p_moments,0.3,80,-0.12000179290771484,0.9199999570846558,0.8215951538085938,2,2,1,"[-0.12000179290771484, -0.12000179290771484]","[0.9199999570846558, 0.9199999570846558]",9.787448956702926e-06,1,2
p_moments,0.45,120,0.9999971389770508,1.1399999856948853,0.8758721923828127,2,2,1,"[0.9999971389770508, 0.9999971389770508]","[1.1399999856948853, 1.1399999856948853]",2.676326180570922e-05,0,1
p_moments,0.45,120,0.09999799728393555,0.85999995470047,0.7501963806152345,2,2,1,"[0.09999799728393555, 0.09999799728393555]","[0.85999995470047, 0.85999995470047]",2.676326180570922e-05,1,2
p_moments,0.6,160,1.1399970054626465,1.159999966621399,0.8335988616943361,2,2,1,"[1.1399970054626465, 1.1399970054626465]","[1.159999966621399, 1.159999966621399]",2.302991729403969e-05,0,1
p_moments,0.6,160,0.29999780654907227,0.8199999928474426,0.6724671936035157,2,2,1,"[0.29999780654907227, 0.29999780654907227]","[0.8199999928474426, 0.8199999928474426]",2.302991729403969e-05,1,2
p_moments,0.75,200,1.2599968910217285,1.2200000286102295,0.8213999938964844,2,2,1,"[1.2599968910217285, 1.2599968910217285]","[1.2200000286102295, 1.2200000286102295]",6.0772743477049606e-05,0,1
p_moments,0.75,200,0.5999975204467773,0.7400000095367432,0.5996963500976563,2,2,1,"[0.5999975204467773, 0.5999975204467773]","[0.7400000095367432, 0.7400000095367432]",6.0772743477049606e-05,1,2
p_moments,0.9,240,1.3799967765808105,1.2400000095367432,0.7955399322509766,2,2,1,"[1.3799967765808105, 1.3799967765808105]","[1.2400000095367432, 1.2400000095367432]",0.0002918612214036317,0,1
p_moments,0.9,240,0.8799972534179688,0.699999988079071,0.5626345443725587,2,2,1,"[0.8799972534179688, 0.8799972534179688]","[0.699999988079071, 0.699999988079071]",0.0002918612214036317,1,2
p_moments,1.05,280,1.4599967002868652,1.2599999904632568,0.7602731323242189,2,2,1,"[1.4599967002868652, 1.4599967002868652]","[1.2599999904632568, 1.2599999904632568]",0.0012912901035562834,0,1
p_moments,1.05,280,1.2399969100952148,0.6399999856948853,0.5065135192871094,2,2,1,"[1.2399969100952148, 1.2399969100952148]","[0.6399999856948853, 0.6399999856948853]",0.0012912901035562834,1,2
p_moments,1.2,320,1.5599966049194336,1.2799999713897705,0.7271208190917969,2,2,1,"[1.5599966049194336, 1.5599966049194336]","[1.2799999713897705, 1.2799999713897705]",0.003469420886174259,0,1
p_moments,1.2,320,1.659996509552002,0.6399999856948853,0.4936315155029298,2,2,1,"[1.659996509552002, 1.659996509552002]","[0.6399999856948853, 0.6399999856948853]",0.003469420886174259,1,2
p_moments,1.35,360,1.659996509552002,1.2400000095367432,0.6901041412353517,2,2,1,"[1.659996509552002, 1.659996509552002]","[1.2400000095367432, 1.2400000095367432]",0.0021857228964737912,0,1
p_moments,1.35,360,1.9999961853027344,0.6800000071525574,0.4717297363281251,2,2,1,"[1.9999961853027344, 1.9999961853027344]","[0.6800000071525574, 0.6800000071525574]",0.0021857228964737912,1,2
p_moments,1.5,400,1.7399964332580566,1.2200000286102295,0.6558923339843751,2,2,1,"[1.7399964332580566, 1.7399964332580566]","[1.2200000286102295, 1.2200000286102295]",0.0016987911214714814,0,1
p_moments,1.5,400,2.339995861053467,0.7199999690055847,0.4971578216552735,2,2,1,"[2.339995861053467, 2.339995861053467]","[0.7199999690055847, 0.7199999690055847]",0.0016987911214714814,1,2
p_moments,1.65,440,1.8799962997436523,1.1799999475479126,0.6203868103027345,2,2,1,"[1.8799962997436523, 1.8799962997436523]","[1.1799999475479126, 1.1799999475479126]",0.0008373806889035152,0,1
p_moments,1.65,440,2.619995594024658,0.7799999713897705,0.5158840942382813,2,2,1,"[2.619995594024658, 2.619995594024658]","[0.7799999713897705, 0.7799999713897705]",0.0008373806889035152,1,2
p_moments,1.8,480,1.9999961853027344,1.1399999856948853,0.5864952087402344,2,2,1,"[1.9999961853027344, 1.9999961853027344]","[1.1399999856948853, 1.1399999856948853]",0.0001043560360683743,0,1
p_moments,1.8,480,2.8599953651428223,0.8399999737739563,0.5114276123046876,2,2,1,"[2.8599953651428223, 2.8599953651428223]","[0.8399999737739563, 0.8399999737739563]",0.0001043560360683743,1,2
p_moments,1.95,520,2.1599960327148438,1.1200000047683716,0.5484856796264649,2,2,1,"[2.1599960327148438, 2.1599960327148438]","[1.1200000047683716, 1.1200000047683716]",-7.399645927155637e-05,0,1
p_moments,1.95,520,3.0799951553344727,0.8999999761581421,0.5279317092895509,2,2,1,"[3.0799951553344727, 3.0799951553344727]","[0.8999999761581421, 0.8999999761581421]",-7.399645927155637e-05,1,2
p_moments,2.1,560,2.2999958992004395,1.059999942779541,0.4958800506591798,2,2,1,"[2.2999958992004395, 2.2999958992004395]","[1.059999942779541, 1.059999942779541]",0.0007204972404084298,1,1
p_moments,2.1,560,3.239995002746582,0.9599999785423279,0.5229299926757813,2,2,1,"[3.239995002746582, 3.239995002746582]","[0.9599999785423279, 0.9599999785423279]",0.0007204972404084298,0,2
p_moments,2.25,600,2.439995765686035,1.0399999618530273,0.47617839813232427,2,2,1,"[2.439995765686035, 2.439995765686035]","[1.0399999618530273, 1.0399999618530273]",0.0018580915945852364,1,1
p_moments,2.25,600,3.419994831085205,1.0,0.5191545867919922,2,2,1,"[3.419994831085205, 3.419994831085205]","[1.0, 1.0]",0.0018580915945852364,0,2
p_moments,2.4,640,2.619995594024658,1.0199999809265137,0.44832656860351566,2,3,2,"[2.5999956130981445, 2.619995594024658]","[0.9199999570846558, 1.0199999809265137]",0.0007509698961182535,1,1
p_moments,2.4,640,3.559994697570801,1.059999942779541,0.5143818664550782,2,3,1,"[3.559994697570801, 3.559994697570801]","[1.059999942779541, 1.059999942779541]",0.0007509698961182535,0,2
p_moments,2.55,680,2.8599953651428223,0.9599999785423279,0.4025978088378907,2,3,2,"[2.759995460510254, 2.8599953651428223]","[0.8799999952316284, 0.9599999785423279]",0.0011035856111085212,1,1
p_moments,2.55,680,3.779994487762451,1.059999942779541,0.5041314697265625,2,3,1,"[3.779994487762451, 3.779994487762451]","[1.059999942779541, 1.059999942779541]",0.0011035856111085212,0,2
p_moments,2.7,720,2.939995288848877,0.8799999952316284,0.37856945037841805,2,3,2,"[2.939995288848877, 3.0199952125549316]","[0.8799999952316284, 0.8999999761581421]",0.0011906494273776402,1,1
p_moments,2.7,720,3.8799943923950195,1.1200000047683716,0.5104769134521485,2,3,1,"[3.8799943923950195, 3.8799943923950195]","[1.1200000047683716, 1.1200000047683716]",0.0011906494273776402,0,2
p_moments,2.85,760,3.2199950218200684,0.7999999523162842,0.3432503509521485,2,3,2,"[3.1599950790405273, 3.2199950218200684]","[0.7999999523162842, 0.8199999928474426]",0.0029124904606548842,1,1
p_moments,2.85,760,4.039994239807129,1.159999966621399,0.5044988250732423,2,3,1,"[4.039994239807129, 4.039994239807129]","[1.159999966621399, 1.159999966621399]",0.0029124904606548842,0,2
p_moments,3.0,800,3.4599947929382324,0.7799999713897705,0.33179401397705083,2,2,1,"[3.4599947929382324, 3.4599947929382324]","[0.7799999713897705, 0.7799999713897705]",0.00588925583248265,1,1
p_moments,3.0,800,4.159994125366211,1.1999999284744263,0.5008652496337891,2,2,1,"[4.159994125366211, 4.159994125366211]","[1.1999999284744263, 1.1999999284744263]",0.00588925583248265,0,2
p_moments,3.15,840,3.679994583129883,0.6800000071525574,0.286444091796875,2,2,1,"[3.679994583129883, 3.679994583129883]","[0.6800000071525574, 0.6800000071525574]",0.011897854835535036,1,1
p_moments,3.15,840,4.259994029998779,1.2599999904632568,0.4981200790405274,2,2,1,"[4.259994029998779, 4.259994029998779]","[1.2599999904632568, 1.2599999904632568]",0.011897854835535036,0,2
p_moments,3.3,880,4.059994220733643,0.6399999856948853,0.26581707000732424,2,2,1,"[4.059994220733643, 4.059994220733643]","[0.6399999856948853, 0.6399999856948853]",0.03183807672239684,1,1
p_moments,3.3,880,4.359993934631348,1.2599999904632568,0.4812667083740235,2,2,1,"[4.359993934631348, 4.359993934631348]","[1.2599999904632568, 1.2599999904632568]",0.03183807672239684,0,2
p_moments,3.45,920,4.459993839263916,0.6599999666213989,0.2721688842773438,2,2,1,"[4.459993839263916, 4.459993839263916]","[0.6599999666213989, 0.6599999666213989]",0.06750489041439285,1,1
p_moments,3.45,920,4.439993858337402,1.2799999713897705,0.4739424896240235,2,2,1,"[4.439993858337402, 4.439993858337402]","[1.2799999713897705, 1.2799999713897705]",0.06750489041439285,0,2
p_moments,3.6,960,4.799993515014648,0.6800000071525574,0.27266399383544926,2,2,1,"[4.799993515014648, 4.799993515014648]","[0.6800000071525574, 0.6800000071525574]",0.09027627946142044,1,1
p_moments,3.6,960,4.519993782043457,1.2599999904632568,0.45637153625488286,2,2,1,"[4.519993782043457, 4.519993782043457]","[1.2599999904632568, 1.2599999904632568]",0.09027627946142044,0,2
p_moments,3.75,1000,5.139993190765381,0.7400000095367432,0.281718921661377,2,2,1,"[5.139993190765381, 5.139993190765381]","[0.7400000095367432, 0.7400000095367432]",0.10397707813483674,1,1
p_moments,3.75,1000,4.619993686676025,1.2400000095367432,0.43896713256835945,2,2,1,"[4.619993686676025, 4.619993686676025]","[1.2400000095367432, 1.2400000095367432]",0.10397707813483674,0,2
