time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_y,linear_impulse_z,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,-0.49999999259253225,-6.564573010934625e-18,-1.8407318376379435e-17,1.0047857728964995,3.1266293106517113,9.90116886046948,2.7647155398380363e-17,-2.5025588426628304e-17,9.90116886046948,1.0031981500222238,19.739208769972592,0.0,0.0,0.0,0.02318911099110164
0.0,0,1,0.4999999925925292,-6.564573010934625e-18,-1.8407318376379435e-17,1.0047857728964995,3.1266293106517113,9.90116886046948,2.4936649967166602e-18,5.954895729081908e-17,9.90116886046948,1.0031981500222238,19.739208769972592,0.0,0.0,0.0,0.02318911099110164
0.075,10,0,-0.4095986550483002,-5.418428717910994e-09,2.3658498648659303e-09,0.9828800185655301,3.1271707385572753,9.476378372509734,-5.360594085739935e-06,-6.324843819800345e-06,9.476378372513361,0.9813872701818948,19.312209686104786,4.732791197525815e-07,1.0475670837260115e-06,-3.568064646053068e-06,0.022751022189022772
0.075,10,1,0.5876397904272899,-6.532898096002461e-07,-7.423376676228775e-07,1.025681426326342,3.1287472885364402,10.326620563882129,-9.349622597762864e-07,2.4604258080292716e-06,10.326620563882464,1.0242957476776513,20.163357286790728,1.7398401841509082e-07,1.6624634591415246e-05,-1.2248529912005195e-05,0.023749368622214568
0.15,20,0,-0.31698996183501166,-8.81514371029784e-08,5.967831974654184e-07,0.960906442672921,3.1250999621514453,9.049524943716866,-1.0069310096189974e-05,-2.498888134204918e-06,9.049524943722814,0.9592479723948767,18.867957408613744,8.314696158669857e-07,-2.2293788107603536e-05,-2.4097720746582042e-06,0.022273660813920845
0.15,20,1,0.6720980049264997,-8.02130729878931e-07,-1.0347365196194704e-06,1.046700551591056,3.1286878576125674,10.75395965336964,-8.308453171592114e-07,9.911241439607004e-06,10.75395965337424,1.0452828870108655,20.576170885427413,-1.7141900103456576e-06,2.2565498133527914e-05,-1.4968585959475571e-05,0.024257635390193783
0.225,30,0,-0.22203942505942054,-1.972842379323608e-07,5.26344112806178e-07,0.938062833018097,3.1240943225709197,8.620738190593913,-1.0338007123935671e-05,-3.835484318516268e-06,8.620738190600965,0.9363506503413327,18.413482571851482,1.5580163443913971e-06,-2.296624596906968e-05,-5.9617172847017605e-06,0.021730020208676436
0.225,30,1,0.7533315798742131,-8.508693118127694e-07,-9.861347185074269e-07,1.0671868339527395,3.1295374773314744,11.183096179814598,2.492920019409306e-06,1.720229089092743e-05,11.183096179828105,1.065838912965592,20.984589779542276,-1.7928592745340734e-06,3.0008914877458284e-05,-1.7695575331145436e-05,0.024747122118411922
0.3,40,0,-0.12410031230597539,-2.9710578775058687e-07,6.30927027583898e-07,0.9146514497690206,3.121957733976234,8.188308338561026,-1.1598542396467644e-05,-9.280107534946972e-06,8.188308338574497,0.9127706545576345,17.94165554663429,9.711078366016017e-07,-3.000293025988898e-05,-8.429380885660587e-06,0.021122879991755616
0.3,40,1,0.8316299364286454,-4.130065464611622e-07,-6.008261635177339e-07,1.0876026357030797,3.1297124417311433,11.615822947535134,2.122213372212103e-06,2.3535670793719068e-05,11.615822947559172,1.0862390794795664,21.38723079844354,-1.6833273531596793e-06,3.299174689666562e-05,-1.6309596242143273e-05,0.025083260616558616
