time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.634235363175513,1953.7062264461165,1255.253462643897,-5.153009056581486,fourier_transition_viscous_rate,-5.153009056581486,5.726139110576111e-17,39.478417539945184,0.0,0.0,0.0,19.802337720938574,3.024924061234558e-17,4.03780605956125e-18,-9.087677628146056e-27,-1.0741802603575994e-16,8.854573616501103e-17,16104,0.0231891106814146,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0025781383737921,0.0035913405008614,0.0036253358703106,0.0046385377645492,0.0,0.0599999986588954,0.9356823907910908,1.047809701145119,2.2445886291170657e-07,0.0557878104823347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.22581394601745,1810.4215809288623,1188.427976334378,-5.445618895440845,periodic_fourier_energy_backward_difference,-4.732499316469377,3.9641387483796473e-07,39.47556697289552,6.472631381676723e-07,1.767220167516034e-05,-1.581659455796979e-05,19.802998936391734,-6.295556345511415e-06,-3.864418011764585e-06,-1.4390332875928678e-07,-7.232254866322728e-06,4.810877496479409e-06,16104,0.0237493682652711,0.063573844730854,0.0682931542396545,0.0704620853066444,0.0024209294933825,0.0035238517448306,0.003468126989901,0.0045710494741797,0.0,0.0682931564858398,0.7379943802689249,0.9056240320745328,6.599480999816272e-05,0.0119051030496333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1979083321988582,0.0,0.1979083321988582,0.1230012380193533,0.0237493682652711,160.0342652331436
0.15,20,25.87135447789803,1697.656788962934,1134.3205160991638,-4.726126241592207,periodic_fourier_energy_backward_difference,-4.139655600816561,-2.2109012274820797e-06,39.44412829404117,-8.82720394478672e-07,2.7171002594215954e-07,-1.7378358034138546e-05,19.80348459708659,-1.0900155413331597e-05,7.41235330530123e-06,6.116289099142083e-07,-1.3781427847065904e-05,8.846191564629817e-06,16104,0.0242576356977224,0.0670651197433471,0.0753569304943084,0.0788141191005706,0.0022583815734833,0.0032091829925775,0.0033055793028324,0.0042563807219266,0.0,0.0753569308089132,0.6431643298776911,0.9978157318354008,8.055003581362182e-05,0.008971789013475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1745265555381774,0.0,0.1745265555381774,0.1096327884292102,0.0242576356977224,163.45920707520582
0.225,30,25.555311486954324,1592.8385500340044,1084.716090652451,-4.2139065459161404,periodic_fourier_energy_backward_difference,-3.777157947877859,2.5615823662318795e-06,39.39807235139376,-2.348429301426763e-07,7.0426689084777255e-06,-2.365729261587582e-05,19.803834370408552,-7.845087104529583e-06,1.3366806572445606e-05,5.495708283109165e-07,-1.7357837041298968e-05,9.630845376019534e-06,16104,0.0247471220791339,0.0701300874352455,0.0815379992127418,0.0860636755824089,0.0021330511663109,0.0030278044287115,0.0031802484299987,0.00407500192523,0.0,0.0815380019683092,0.5914007971451458,0.919136788740878,8.246274957329132e-05,0.0070213480356289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1725392845273017,0.0,0.1725392845273017,0.105219911435626,0.0247471220791339,166.75759347925083
0.3,40,25.276169738159112,1509.2228913493818,1042.5892367000174,-3.721889983936157,periodic_fourier_energy_backward_difference,-3.348902277147546,1.7171010529876146e-06,39.32888634507783,-7.122195165580776e-07,2.9888166366565105e-06,-2.473897712766508e-05,19.80413128609622,-9.476329024250588e-06,1.425556325884874e-05,7.652035747200652e-07,-1.9978223569193483e-05,3.94270266601185e-06,16104,0.0250832606106996,0.0731044337153434,0.0870593562722206,0.0921826884150505,0.002000075764954,0.0029589997138828,0.0030472732614725,0.0040061972104012,0.0,0.0870593563684526,0.559247931477489,0.9367701613245109,9.113058703303913e-05,0.0064273018915508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1590888878703117,0.0,0.1590888878703117,0.1008555123747659,0.0250832606106996,169.02265090371807
0.375,50,25.0197021152955,1429.32939550811,1001.7243833298628,-3.419568304848136,periodic_fourier_energy_backward_difference,-3.120099060929273,3.24010662016325e-06,39.24502736213205,-2.459877786991997e-07,1.0987385870381283e-05,-1.927682625690874e-05,19.80443561624866,-8.857225009080907e-06,1.0937088000166174e-05,6.245097610679262e-07,-2.6430904800122496e-05,3.805488440324603e-06,16104,0.0257780533283948,0.0759945139288902,0.0920663252472877,0.0979654043912887,0.0019063095096498,0.0027172435075044,0.0029535070061683,0.0037644410040229,0.0,0.0920663202122238,0.5398915056188329,0.9920701501996808,8.150151360056898e-05,0.0057639930630837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1538332638144493,0.0,0.1538332638144493,0.0944249463173668,0.0257780533283948,173.7044866824108
0.45,60,24.78836141580597,1362.00135001143,966.4185777205342,-3.084542659860479,periodic_fourier_energy_backward_difference,-2.8535203038365373,2.4953460111635114e-07,39.13134005845343,2.572985338623725e-07,1.303370458679079e-05,-2.4982768566681e-05,19.804594172806908,-9.44058215249201e-06,9.53663916654468e-06,3.844528169927518e-07,-2.9680395541051447e-05,2.3629870527123205e-06,16104,0.026122972369194,0.0786750018596649,0.0966643095016479,0.1030470505356788,0.0017978234682232,0.0028050651308149,0.0028450209647417,0.0038522626273334,0.0,0.0966643118727498,0.5022645334109066,0.8528710269860253,8.028491793155854e-05,0.0052637569671598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1565666431188583,0.0,0.1565666431188583,0.0939604593140383,0.026122972369194,176.02871125304617
0.525,70,24.959725890491683,1295.943683870046,932.0646938986182,-2.929357838613716,fourier_grid_transition_backward_difference,-2.6578140182120418,-1.0880827042334052e-06,38.99511430730327,-3.078222223166084e-06,1.934811626922719e-05,-2.409395591326688e-05,19.80474827659522,-9.383266588429434e-06,1.15669485065587e-05,1.708812550645064e-06,-3.764443331288982e-05,-1.01813664622126e-06,16104,0.0262052118778228,0.0811350345611572,0.1009087264537811,0.1081467792391777,0.0017217678250744,0.0026172411162406,0.0027689654380083,0.0036644386127591,0.0,0.100908728045311,0.4717954658589517,0.7976175923068777,0.0001033782487403,0.0051600171481505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1515141995251178,0.0,0.1515141995251178,0.0912943510741608,0.0262052118778228,176.58287922878122
0.6,80,24.75948357600563,1238.8215605648886,899.9197019224778,-2.6698975264807263,periodic_fourier_energy_backward_difference,-2.509789347568528,-3.099492074925755e-06,38.837366300450356,-3.166319332374606e-06,1.9045589747274105e-05,-2.228860613959368e-05,19.804873432989233,-6.151160101754223e-06,1.424799941426286e-05,1.6315338566209662e-06,-4.540333693343436e-05,3.2376696380912387e-06,16104,0.0275169257074594,0.0841669216752052,0.1048849299550056,0.1126906722784042,0.0016551330918446,0.0023843569215387,0.0027023307047784,0.0034315544180572,0.0,0.1048849346736141,0.4426271192702196,0.7462632816391502,0.0001119150952247,0.0054230271375128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1385198119282722,0.0,0.1385198119282722,0.0838863672192626,0.0275169257074594,185.42181576710624
0.675,90,24.573813044863083,1186.4535528851286,869.9539986075447,-2.4756070819005984,periodic_fourier_energy_backward_difference,-2.303854229157986,-9.422810775303532e-06,38.64327866406477,-3.419868106761234e-06,2.2336878675560667e-05,-2.2580768008943243e-05,19.804840867076983,-1.1687283960353486e-05,1.5199062670026705e-05,1.892049595490209e-06,-5.263718396876882e-05,-2.0885158513414902e-06,16104,0.0272111557424068,0.0863437056541442,0.1086271628737449,0.1170092225074768,0.0015972099499776,0.0024070746731013,0.0026444073300808,0.0034542721696197,0.0,0.1086271542156373,0.4307992774005973,0.8322910117540002,0.0001158585924289,0.0056689531963549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1312613207101821,0.0,0.1312613207101821,0.0830047647340734,0.0272111557424068,183.36139583757432
