time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,-0.7996905438787948,0.025366843630975362,0.0,-1.2787033,0.0,-400.04434,0.0,0.0,-343.58856201171875,-4.950847888096632e-05,11.362931449897587,8.305742979031281e-08,-399.8452719393974,12.683421815487682,50.0,10.0,-9.901695776193264e-09,0.022725862899795175,1.6611485958062563e-11,1.239776611328125e-08,0.222748046875,1.3653188943862916e-10,-5.648593902587891,5.648595631122589,0.0,56,0.0,0.0,0.0
0.025,2,-0.11148688194670849,0.0012288394072855926,0.0,-1.3313726,0.0,-55.730927,0.0,0.0,-1.5202455520629883,-1.3527952136049848e-05,-17.515523151381785,-2.009094068292517e-08,-55.74344097335424,0.6144197036427963,50.0,10.0,-2.7055904272099694e-09,-0.03503104630276357,-4.018188136585034e-12,-5.626678466796875e-09,-0.007165579319000244,2.0797597244381905e-11,-5.423934459686279,5.423936151022318,0.0,112,0.0,0.0,0.0
0.0375,3,-0.1361125138375142,0.0019391972649038763,0.0,-1.4061211,0.0,-68.04864,0.0,0.0,-12.249092102050781,5.4940737108211124e-05,-15.759221028187312,-7.702561839913191e-08,-68.0562569187571,0.9695986324519381,50.0,10.0,1.0988147421642224e-08,-0.03151844205637462,-1.540512367982638e-11,1.0335445404052734e-08,0.0025058715343475343,-9.30071109905839e-11,-5.582869529724121,5.582871391245692,0.0,168,0.0,0.0,0.0
0.05,4,-0.14639114842028766,0.002141523615243266,0.0,-1.4843792,0.0,-73.188354,0.0,0.0,-14.595413208007812,3.56240962533505e-05,-15.468498105357867,-1.0219547947508878e-07,-73.19557421014383,1.070761807621633,50.0,10.0,7.1248192506701e-09,-0.030936996210715734,-2.0439095895017756e-11,7.4148178100585936e-09,0.00565718412399292,-3.5442644730210304e-11,-5.862321853637695,5.862320722786247,0.0,224,0.0,0.0,0.0
0.0625,5,-0.14889701054739177,0.002084623938330399,0.0,-1.5565383,0.0,-74.43953,0.0,0.0,-13.195322036743164,-3.564168330161266e-05,-15.908355787039909,-1.062878161775093e-08,-74.44850527369589,1.0423119691651994,50.0,10.0,-7.128336660322532e-09,-0.031816711574079816,-2.125756323550186e-12,-6.565451622009277e-09,0.005403055191040039,-3.3943797461688515e-11,-6.127553462982178,6.127554981061136,0.0,280,0.0,0.0,0.0
0.075,6,-0.14939050996137726,0.001973012053425614,0.0,-1.6209217,0.0,-74.68418,0.0,0.0,-11.219853401184082,-2.7929408293658753e-05,-16.474891192672658,-4.589271562099352e-08,-74.69525498068863,0.9865060267128068,50.0,10.0,-5.585881658731751e-09,-0.032949782385345315,-9.178543124198703e-12,-4.351139068603515e-09,0.0043923287391662595,-7.815833669155837e-11,-6.349665641784668,6.349666015004281,0.0,336,0.0,0.0,0.0
0.0875,7,-0.1499806554218874,0.0018780421387624426,0.0,-1.6786757,0.0,-74.97742,0.0,0.0,-9.64303970336914,7.266778896219961e-05,-16.96065699547762,7.981026984443546e-08,-74.9903277109437,0.9390210693812213,50.0,10.0,1.4533557792439923e-08,-0.03392131399095524,1.5962053968887093e-11,1.4260411262512206e-08,0.003567390441894531,-7.64266587793827e-12,-6.536749362945557,6.536749802552937,0.0,392,0.0,0.0,0.0
0.1,8,-0.15083498524348354,0.001803167193951555,0.0,-1.7309982,0.0,-75.403015,0.0,0.0,-8.450160026550293,-3.280793261328796e-05,-17.360588093288243,2.5697763071349036e-08,-75.41749262174177,0.9015835969757775,50.0,10.0,-6.561586522657592e-09,-0.03472117618657648,5.139552614269807e-12,-9.459257125854493e-09,0.002980321168899536,2.963352017104626e-11,-6.698673248291016,6.698671990941589,0.0,448,0.0,0.0,0.0
0.1125,9,-0.15177133915617222,0.0017404224156192555,0.0,-1.7786906,0.0,-75.86981,0.0,0.0,-7.493175983428955,3.4259345052412016e-05,-17.70292871563288,-1.6123187344908516e-07,-75.88566957808611,0.8702112078096278,50.0,10.0,6.851869010482403e-09,-0.03540585743126576,-3.224637468981703e-11,9.319186210632324e-09,0.0025290601253509523,3.6729034036397936e-12,-6.841123580932617,6.841123383743245,0.0,504,0.0,0.0,0.0
0.125,10,-0.1526989315134561,0.0016854809413157938,0.0,-1.8223308,0.0,-76.33237,0.0,0.0,-6.692343235015869,-9.344396413180078e-05,-18.00415004442766,-1.0115736358230678e-07,-76.34946575672805,0.8427404706578969,50.0,10.0,-1.8688792826360158e-08,-0.03600830008885532,-2.0231472716461357e-11,-1.77919864654541e-08,0.0021578896045684813,9.115319699048995e-12,-6.967521667480469,6.96752393061779,0.0,560,0.0,0.0,0.0
