time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0125,1,5.758103635610585,1.3971564825205152,0.0,-70.37868,0.0,2961.7559,0.0,0.0,2553.483642578125,-0.0004859748670469344,-89.49410942941904,-1.721728543957468e-06,2879.0518178052926,698.5782412602575,50.0,10.0,-9.719497340938688e-08,-0.1789882188588381,-3.4434570879149365e-10,-1.865386962890625e-07,-1.6598665771484375,4.817917943000793e-09,42.0864372253418,-42.08644390106201,0.0,56,0.0,0.0,0.0
0.025,2,0.8204604436485751,0.06807408921028411,0.0,-73.298134,0.0,405.0614,0.0,0.0,12.370210647583008,0.00012135450547390292,125.53417866694508,-1.484184355866891e-06,410.2302218242875,34.03704460514206,50.0,10.0,2.4270901094780582e-08,0.25106835733389016,-2.968368711733782e-10,4.7898292541503905e-08,0.048537532806396486,3.129616379737854e-09,40.463722229003906,-40.46370027392899,0.0,112,0.0,0.0,0.0
0.0375,3,0.9934917395003001,0.1059417889135535,0.0,-77.40134,0.0,493.52954,0.0,0.0,89.70296478271484,0.00047029607725335154,113.06118460377911,9.326918071775325e-06,496.74586975015006,52.970894456776755,50.0,10.0,9.40592154506703e-08,0.2261223692075582,1.865383614355065e-09,1.287221908569336e-07,-0.02064238739013672,1.4269538223743438e-08,41.59717559814453,-41.59718569158382,0.0,168,0.0,0.0,0.0
0.05,4,1.0682253304163154,0.11705806293478688,0.0,-81.70383,0.0,531.06165,0.0,0.0,107.38045501708984,-0.00040268039034430103,110.92295023228507,-4.313828851330165e-06,534.1126652081578,58.52903146739344,50.0,10.0,-8.053607806886021e-08,0.22184590046457014,-8.62765770266033e-10,-7.486343383789063e-08,-0.04368490982055664,-1.218169927597046e-09,43.62605667114258,-43.62607147264683,0.0,224,0.0,0.0,0.0
0.0625,5,1.0886935993135296,0.11428874432252274,0.0,-85.690094,0.0,540.5887,0.0,0.0,97.83460998535156,-0.00023267604885290893,114.03950777032878,8.042925279672097e-07,544.3467996567648,57.14437216126137,50.0,10.0,-4.653520977058179e-08,0.22807901554065757,1.6085850559344195e-10,-5.2165985107421874e-08,-0.042215415954589844,6.790086627006531e-09,45.57761764526367,-45.57762347506727,0.0,280,0.0,0.0,0.0
0.075,6,1.094057661286567,0.10833750227994408,0.0,-89.258484,0.0,542.4092,0.0,0.0,83.57595825195312,0.0007225729395941016,118.15713233698625,1.5715423088424885e-06,547.0288306432834,54.168751139972045,50.0,10.0,1.4451458791882032e-07,0.2363142646739725,3.143084617684977e-10,1.1668205261230469e-07,-0.03489043807983398,-2.6119872927665712e-09,47.22503662109375,-47.225020936097394,0.0,336,0.0,0.0,0.0
0.0875,7,1.0992892511051071,0.10310562698366264,0.0,-92.4623,0.0,544.2588,0.0,0.0,71.87696075439453,-0.0004149734981808706,121.74707048659911,2.649309383054299e-07,549.6446255525535,51.55281349183132,50.0,10.0,-8.299469963617412e-08,0.24349414097319821,5.298618766108598e-11,-8.561611175537109e-08,-0.028635288238525392,1.1792406439781189e-09,48.614776611328125,-48.614768912931254,0.0,392,0.0,0.0,0.0
0.1,8,1.106111869897773,0.0989252352996002,0.0,-95.36419,0.0,547.0129,0.0,0.0,62.929569244384766,0.000680397070716765,124.71770221582847,1.0262731319238272e-05,553.0559349488865,49.4626176498001,50.0,10.0,1.36079414143353e-07,0.24943540443165693,2.0525462638476544e-09,8.14199447631836e-08,-0.024070974349975585,5.073100328445434e-09,49.81620788574219,-49.81621006832559,0.0,448,0.0,0.0,0.0
0.1125,9,1.1134881378555135,0.09542639165736015,0.0,-98.00856,0.0,550.12256,0.0,0.0,55.762779235839844,0.00010824724687097387,127.25361409207107,4.479736220044939e-06,556.7440689277568,47.71319582868008,50.0,10.0,2.1649449374194772e-08,0.2545072281841422,8.959472440089877e-10,1.308917999267578e-08,-0.02055408477783203,6.0843303799629215e-09,50.872257232666016,-50.87224039842413,0.0,504,0.0,0.0,0.0
0.125,10,1.1207963559574223,0.0923753590006468,0.0,-100.42785,0.0,553.2573,0.0,0.0,49.7870979309082,-0.0005234030280263369,129.4766434757621,-1.8246388940254543e-06,560.3981779787111,46.187679500323405,50.0,10.0,-1.0468060560526737e-07,0.2589532869515242,-3.6492777880509085e-10,-6.930828094482422e-08,-0.017675390243530275,5.1254406571388245e-09,51.80909729003906,-51.809097271365765,0.0,560,0.0,0.0,0.0
0.1375,11,1.1278562128692744,0.08966968652550687,0.0,-102.6482,0.0,556.31683,0.0,0.0,44.715335845947266,0.00014791081963494435,131.44969701417722,4.1011056814907465e-06,563.9281064346372,44.83484326275344,50.0,10.0,2.958216392698887e-08,0.26289939402835444,8.202211362981493e-10,6.84499740600586e-08,-0.015258999824523925,-2.4052336812019346e-09,52.64579772949219,-52.64581445841484,0.0,616,0.0,0.0,0.0
